,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,0.361369349135383,False,32
1,Amazonas,InSample,Colombia & GT,Colombia,0.32846150515277983,False,32
2,Anzoategui,OOS,Colombia & GT,Colombia,-5.461285207315606,False,32
3,Anzoategui,InSample,Colombia & GT,Colombia,0.27090728634767103,False,32
4,Apure,OOS,Colombia & GT,Colombia,-0.13928408771930426,False,32
5,Apure,InSample,Colombia & GT,Colombia,0.222394999611924,False,32
6,Aragua,OOS,Colombia & GT by State,Colombia,-0.6686655769202561,False,32
7,Aragua,InSample,Colombia & GT by State,Colombia,0.2390065196226185,False,32
8,Barinas,OOS,Colombia & GT,Colombia,-1.2279845658275406,False,32
9,Barinas,InSample,Colombia & GT,Colombia,0.19987950588119585,False,32
10,Bolivar,OOS,Colombia & GT,Colombia,-0.09988484691317524,False,32
11,Bolivar,InSample,Colombia & GT,Colombia,-0.2715936441721074,False,32
12,Carabobo,OOS,Colombia & GT,Colombia,-0.0917180861877589,False,32
13,Carabobo,InSample,Colombia & GT,Colombia,0.29267327265699217,False,32
14,Cojedes,OOS,Colombia & GT by State,Colombia,0.0007186252511804938,False,32
15,Cojedes,InSample,Colombia & GT by State,Colombia,0.22053250949636227,False,32
16,Delta Amacuro,OOS,Colombia & GT,Colombia,-0.09275371013276136,False,32
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.32166413852638576,False,32
18,Distrito Federal,OOS,Colombia & GT,Colombia,0.1191888673021817,False,32
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.5089284544961944,False,32
20,Falcon,OOS,Colombia & GT,Colombia,-1.8235803081523376,False,32
21,Falcon,InSample,Colombia & GT,Colombia,-0.17947740718446115,False,32
22,Guarico,OOS,Colombia & GT,Colombia,-0.7536528885000109,False,32
23,Guarico,InSample,Colombia & GT,Colombia,0.20059293925124225,False,32
24,Lara,OOS,Colombia & GT,Colombia,0.09979306814222433,False,32
25,Lara,InSample,Colombia & GT,Colombia,0.4842256630347199,False,32
26,Merida,OOS,Colombia & GT,Colombia,-0.5981492074236274,False,32
27,Merida,InSample,Colombia & GT,Colombia,0.6633818803256977,False,32
28,Miranda,OOS,Colombia & GT,Colombia,-0.5783267466080326,False,32
29,Miranda,InSample,Colombia & GT,Colombia,0.4459378801014344,False,32
30,Monagas,OOS,Colombia & GT,Colombia,-0.6999751684543329,False,32
31,Monagas,InSample,Colombia & GT,Colombia,0.3210457938118623,False,32
32,Nueva Esparta,OOS,Colombia & GT,Colombia,-0.3372632300839109,False,32
33,Nueva Esparta,InSample,Colombia & GT,Colombia,0.17640834641543926,False,32
