,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,-0.1189396453213547,False,30
1,Amazonas,InSample,Colombia & GT,Colombia,0.4597861116035443,False,30
2,Anzoategui,OOS,Colombia & GT,Colombia,-0.3221195890054296,False,30
3,Anzoategui,InSample,Colombia & GT,Colombia,0.208599914974172,False,30
4,Apure,OOS,Colombia & GT,Colombia,-0.1827288077110916,False,30
5,Apure,InSample,Colombia & GT,Colombia,0.21508259623342085,False,30
6,Aragua,OOS,Colombia & GT,Colombia,-1.1723517855184027,False,30
7,Aragua,InSample,Colombia & GT,Colombia,0.3486839907833509,False,30
8,Barinas,OOS,Colombia & GT,Colombia,-0.01145318492509384,False,30
9,Barinas,InSample,Colombia & GT,Colombia,0.18546675608793808,False,30
10,Bolivar,OOS,Colombia & GT,Colombia,-0.9041647956043564,False,30
11,Bolivar,InSample,Colombia & GT,Colombia,0.16436682658301915,False,30
12,Carabobo,OOS,Colombia & GT,Colombia,-3.3131366607504917,False,30
13,Carabobo,InSample,Colombia & GT,Colombia,0.3818472665839814,False,30
14,Cojedes,OOS,Colombia & GT by State,Colombia,-0.6896282676168612,False,30
15,Cojedes,InSample,Colombia & GT by State,Colombia,0.16921884482906213,False,30
16,Delta Amacuro,OOS,Colombia & GT,Colombia,-0.27175263215305057,False,30
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.3052426100362442,False,30
18,Distrito Federal,OOS,Colombia & GT,Colombia,-3.2512513586966767,False,30
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.5247997412051223,False,30
20,Falcon,OOS,Colombia & GT by State,Colombia,-0.9166620567840946,False,30
21,Falcon,InSample,Colombia & GT by State,Colombia,-0.17483682528140476,False,30
22,Guarico,OOS,Dengue GT CO,Colombia,-3.0017705321108847,False,30
23,Guarico,InSample,Dengue GT CO,Colombia,0.2592695971519843,False,30
24,Lara,OOS,Colombia & GT,Colombia,-0.18777834522643166,False,30
25,Lara,InSample,Colombia & GT,Colombia,0.45868244171820094,False,30
26,Merida,OOS,Colombia & GT,Colombia,0.3021706411825559,False,30
27,Merida,InSample,Colombia & GT,Colombia,0.6983834571226121,False,30
28,Miranda,OOS,Colombia & GT,Colombia,-2.398412513350254,False,30
29,Miranda,InSample,Colombia & GT,Colombia,0.4995485001678669,False,30
30,Monagas,OOS,Colombia & GT,Colombia,-0.3196148936216443,False,30
31,Monagas,InSample,Colombia & GT,Colombia,0.3890445950255996,False,30
32,Nueva Esparta,OOS,Colombia & GT,Colombia,-1.2777389776202823,False,30
33,Nueva Esparta,InSample,Colombia & GT,Colombia,-0.13825014604059072,False,30
34,Portuguesa,OOS,Colombia & GT,Colombia,-0.06414880576560987,False,30
35,Portuguesa,InSample,Colombia & GT,Colombia,0.2683581492105341,False,30
36,Sucre,OOS,Colombia & GT,Colombia,-0.27655719552465396,False,30
37,Sucre,InSample,Colombia & GT,Colombia,0.3233173860509005,False,30
38,Tachira,OOS,Colombia & GT,Colombia,-0.4792675605158576,False,30
39,Tachira,InSample,Colombia & GT,Colombia,0.7364306712079431,False,30
40,Total,OOS,Colombia & GT,Colombia,0.08039220679497938,False,30
41,Total,InSample,Colombia & GT,Colombia,0.3913881929575523,False,30
42,Trujillo,OOS,Colombia & GT,Colombia,-0.2731072417570457,False,30
43,Trujillo,InSample,Colombia & GT,Colombia,-0.6300341511138849,False,30
44,Vargas,OOS,Colombia & GT,Colombia,-0.32652918803006803,False,30
45,Vargas,InSample,Colombia & GT,Colombia,0.2747366442155236,False,30
46,Yaracuy,OOS,Colombia & GT,Colombia,-2.3851502867647816,False,30
47,Yaracuy,InSample,Colombia & GT,Colombia,0.3575849967496223,False,30
48,Zulia,OOS,Colombia & GT,Colombia,-3.8759909512942166,False,30
49,Zulia,InSample,Colombia & GT,Colombia,-0.3292319105866945,False,30
50,Amazonas,OOS,Colombia & GT,Colombia Border & GT,0.06300484927434857,False,30
51,Amazonas,InSample,Colombia & GT,Colombia Border & GT,0.4482796026672608,False,30
52,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-0.5697828290859441,False,30
53,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.5343855164898249,False,30
54,Apure,OOS,Colombia & GT,Colombia Border & GT,-0.04290535593670186,False,30
55,Apure,InSample,Colombia & GT,Colombia Border & GT,0.39194238655668456,False,30
56,Aragua,OOS,Colombia & GT,Colombia Border & GT,-0.04124667200039345,False,30
57,Aragua,InSample,Colombia & GT,Colombia Border & GT,0.472522461112072,False,30
58,Barinas,OOS,Colombia & GT,Colombia Border & GT,0.16323299519681567,False,30
59,Barinas,InSample,Colombia & GT,Colombia Border & GT,0.3878572951163817,False,30
60,Bolivar,OOS,Colombia & GT,Colombia Border & GT,-0.09775926128416024,False,30
61,Bolivar,InSample,Colombia & GT,Colombia Border & GT,0.41256830003510814,False,30
62,Carabobo,OOS,Colombia & GT,Colombia Border & GT,0.2021280222803642,False,30
63,Carabobo,InSample,Colombia & GT,Colombia Border & GT,0.5230387408184296,False,30
64,Cojedes,OOS,Colombia & GT by State,Colombia Border & GT,0.2727222869533055,False,30
65,Cojedes,InSample,Colombia & GT by State,Colombia Border & GT,0.20542641598232725,False,30
66,Delta Amacuro,OOS,Colombia & GT,Colombia Border & GT,0.18223813843925374,False,30
67,Delta Amacuro,InSample,Colombia & GT,Colombia Border & GT,0.3348324025378151,False,30
68,Distrito Federal,OOS,Colombia & GT,Colombia Border & GT,0.3625946680435004,False,30
69,Distrito Federal,InSample,Colombia & GT,Colombia Border & GT,0.7011124610062568,False,30
70,Falcon,OOS,Colombia & GT by State,Colombia Border & GT,0.34311474725385605,False,30
71,Falcon,InSample,Colombia & GT by State,Colombia Border & GT,0.51955654988732,False,30
72,Guarico,OOS,Dengue GT CO,Colombia Border & GT,-0.12104843892946372,False,30
73,Guarico,InSample,Dengue GT CO,Colombia Border & GT,0.4125006970587659,False,30
74,Lara,OOS,Colombia & GT,Colombia Border & GT,0.08914252252940058,False,30
75,Lara,InSample,Colombia & GT,Colombia Border & GT,0.618078256618541,False,30
76,Merida,OOS,Colombia & GT,Colombia Border & GT,-0.07345881715678093,False,30
77,Merida,InSample,Colombia & GT,Colombia Border & GT,0.7426264230335515,False,30
78,Miranda,OOS,Colombia & GT,Colombia Border & GT,-1.959751346429936,False,30
79,Miranda,InSample,Colombia & GT,Colombia Border & GT,0.8169092424490283,False,30
80,Monagas,OOS,Colombia & GT,Colombia Border & GT,-0.055379391029692686,False,30
81,Monagas,InSample,Colombia & GT,Colombia Border & GT,0.6580161142685912,False,30
82,Nueva Esparta,OOS,Colombia & GT,Colombia Border & GT,0.4052584336999748,False,30
83,Nueva Esparta,InSample,Colombia & GT,Colombia Border & GT,0.5204634017021134,False,30
84,Portuguesa,OOS,Colombia & GT,Colombia Border & GT,0.13028631034699412,False,30
85,Portuguesa,InSample,Colombia & GT,Colombia Border & GT,0.15364177199065854,False,30
86,Sucre,OOS,Colombia & GT,Colombia Border & GT,-0.12486087677010492,False,30
87,Sucre,InSample,Colombia & GT,Colombia Border & GT,0.614149958467032,False,30
88,Tachira,OOS,Colombia & GT,Colombia Border & GT,-0.4621281128298165,False,30
89,Tachira,InSample,Colombia & GT,Colombia Border & GT,0.7237891390038165,False,30
90,Total,OOS,Colombia & GT,Colombia Border & GT,-0.07828291253466957,False,30
